subj,n_test,nll_actr,nll_fear,n_params_actr,n_params_fear,aic_actr,aic_fear,bic_actr,bic_fear,delta_aic,delta_bic,converged_actr,converged_fear,actr_c,actr_F,actr_tau,actr_s,fear_d,fear_F,fear_tau,fear_s
1501,125,218.0258354622407,207.5866625766026,51,51,538.0516709244814,517.1733251532053,682.2956715268988,661.4173257556226,-20.878345771276145,-20.878345771276145,True,True,5.363445591190194e-07,1.0,-0.8,0.25,0.27243477041098674,1.0,-0.8,0.25
1502,156,176.3310570261946,176.27177107334975,51,51,454.6621140523892,454.5435421466995,610.2047704221156,610.0861985164258,-0.11857190568969145,-0.11857190568980513,True,True,5.363445765418238e-07,1.0,-0.8,0.25,0.16421486341516098,1.0,-0.8,0.25
1503,173,182.242870819328,196.52431755689724,51,51,466.485741638656,495.0486351137945,627.3036129580428,655.8665064331813,28.56289347513848,28.56289347513848,True,True,5.363445591190194e-07,1.0,-0.8,0.25,0.12025655388495048,1.0,-0.8,0.25
1504,102,206.8692571123611,210.77503494896035,35,35,483.7385142247222,491.5500698979207,575.6125626896717,583.4241183628702,7.811555673198484,7.811555673198541,True,True,5.9086948878432265e-09,1.0,-0.8,0.25,0.3724930333430078,1.0,-0.8,0.25
1505,64,73.9504773815268,53.26107242593878,51,51,249.9009547630536,208.52214485187756,360.00399201439683,318.6251821032208,-41.378809911176035,-41.378809911176006,True,True,0.06620878395312733,1.0,-0.8,0.25,0.14913304448942086,1.0,-0.8,0.25
1509,86,147.6308534937057,137.4318838569571,45,45,385.2617069874114,364.8637677139142,495.7073353188192,475.30939604532205,-20.397939273497173,-20.397939273497173,True,True,5.363445906374239e-07,1.0,-0.8,0.25,0.2507344806576628,1.0,-0.8,0.25
1512,120,199.1188096955416,200.62740404728498,51,51,500.2376193910832,503.25480809456997,642.3996982729675,645.4168869764543,3.017188703486795,3.017188703486795,True,True,5.363445591190194e-07,1.0,-0.8,0.25,0.3125043512314198,1.0,-0.8,0.25
1517,75,197.429583092922,191.4988430853417,21,21,436.859166185844,424.9976861706834,485.5264165701065,473.6649365549459,-11.861480015160623,-11.861480015160623,True,True,0.47403039870235153,1.0,-0.8,0.25,0.3830339249646357,1.0,-0.8,0.25
1518,74,88.96604247538188,62.534668189450834,51,51,279.93208495076374,227.06933637890165,397.43940470417647,344.5766561323143,-52.862748571862085,-52.86274857186214,True,True,0.07971624073301879,1.0,-0.8,0.25,0.11318249398621165,1.0,-0.8,0.25
1521,112,191.88392275038098,196.42667972423226,51,51,485.76784550076195,494.8533594484645,624.4112879368117,633.4968018845143,9.085513947702566,9.085513947702566,True,True,5.363445591190194e-07,1.0,-0.8,0.25,0.2759012320007322,1.0,-0.8,0.25
1529,136,194.13493821885032,196.0853586747318,51,51,490.26987643770065,494.1707173494636,638.8152756102393,642.7161165220023,3.9008409117629412,3.900840911762998,True,True,5.363445591190194e-07,1.0,-0.8,0.25,0.1901523493088224,1.0,-0.8,0.25
1530,163,185.57889647631546,157.28764749368585,51,51,473.1577929526309,416.5752949873717,630.9390531937759,574.3565552285165,-56.58249796525922,-56.582497965259336,True,True,0.04097186133074265,1.0,-0.8,0.25,0.10303938294903227,1.0,-0.8,0.25
1532,113,207.78791866933435,206.38873179938525,41,41,497.5758373386687,494.7774635987705,609.3987379058747,606.6003641659765,-2.7983737398981816,-2.7983737398981248,True,True,0.09505051415070687,1.0,-0.8,0.25,0.3017228633121653,1.0,-0.8,0.25
1535,159,82.72626153571326,85.8829969320383,51,51,267.4525230714265,273.76599386407656,423.9666373846583,430.2801081773084,6.313470792650037,6.313470792650094,True,True,5.363445591190194e-07,1.0,-0.8,0.25,0.10000056529063331,1.0,-0.8,0.25
1536,121,250.01001141853303,242.05110666609806,37,37,574.0200228370661,558.1022133321961,677.4642730241455,661.5464635192756,-15.917809504869979,-15.917809504869979,True,True,0.6582769879163016,1.0,-0.8,0.25,0.4196619340402709,1.0,-0.8,0.25
1540,99,127.93236736497965,108.83820241317893,51,51,357.8647347299593,319.67640482635784,490.2158470868234,452.02751718322196,-38.18832990360147,-38.188329903601414,True,True,5.363445591190194e-07,1.0,-0.8,0.25,0.146202322270144,1.0,-0.8,0.25
1542,109,175.24055189654192,175.7080392906766,51,51,452.48110379308383,453.4160785813532,589.7398457867702,590.6748205750396,0.9349747882693578,0.9349747882694146,True,True,5.363445591190194e-07,1.0,-0.8,0.25,0.31704018013919116,1.0,-0.8,0.25
1552,91,114.97068819485352,95.75475879122703,51,51,331.94137638970705,293.50951758245407,459.99521122206636,421.5633524148134,-38.43185880725298,-38.43185880725298,True,True,5.363445675703363e-07,1.0,-0.8,0.25,0.1655579659085144,1.0,-0.8,0.25
1557,124,202.50609161525352,192.4261315491758,51,51,507.01218323050705,486.8522630983516,650.8465430763639,630.6866229442085,-20.159920132155435,-20.159920132155435,True,True,0.07609067505890821,1.0,-0.8,0.25,0.24163227415676405,1.0,-0.8,0.25
29212,158,208.82405666098157,204.52748125854714,51,51,519.6481133219631,511.0549625170943,675.8404600063384,667.2473092014695,-8.593150804868856,-8.593150804868856,True,True,5.363445591190194e-07,1.0,-0.8,0.25,0.1907316546920788,1.0,-0.8,0.25
29220,83,129.3041288149187,113.54664830043109,51,51,360.6082576298374,329.0932966008622,483.9691286274639,452.45416759848865,-31.514961028975222,-31.514961028975222,True,True,0.12489643695115042,1.0,-0.8,0.25,0.2310110438371643,1.0,-0.8,0.25
29221,149,204.98095788257962,200.07679451691516,51,51,511.96191576515923,502.1535890338303,665.1631773683777,655.3548506370487,-9.808326731328918,-9.808326731328975,True,True,1.1966927905157376e-07,1.0,-0.8,0.25,0.17376033716451497,1.0,-0.8,0.25
29227,85,127.3732170097912,123.7056903336515,47,47,348.7464340195824,341.411380667303,463.5510430746273,456.2159897223479,-7.335053352279431,-7.335053352279374,True,True,0.12236154641356643,1.0,-0.8,0.25,0.19604427358813484,1.0,-0.8,0.25
29230,194,157.92893800012567,163.12146893628054,51,51,417.85787600025134,428.2429378725611,584.5186421124811,594.9037039847908,10.385061872309734,10.385061872309734,True,True,5.363445591190194e-07,1.0,-0.8,0.25,0.10000056529063331,1.0,-0.8,0.25
29245,73,80.82922343381078,60.20933548956243,51,51,263.6584468676216,222.41867097912484,380.4718783661895,339.2321024776928,-41.23977588849675,-41.239775888496695,True,True,5.363445591190246e-07,1.0,-0.8,0.25,0.10000000000000087,1.0,-0.8,0.25
29280,73,113.51475624556946,113.58139065222335,41,41,309.0295124911389,309.1627813044467,402.938349578223,403.0716183915307,0.1332688133077795,0.13326881330772267,True,True,0.013374423207436875,1.0,-0.8,0.25,0.18168093406828073,1.0,-0.8,0.25
29281,96,115.50303122603529,108.92272438087609,51,51,333.0060624520706,319.8454487617522,463.7878202169302,450.6272065266118,-13.160613690318371,-13.160613690318371,True,True,5.36344646476974e-07,1.0,-0.8,0.25,0.10124408388107049,1.0,-0.8,0.25
29303,127,176.40625191186132,174.66302694052692,51,51,454.81250382372264,451.32605388105384,599.8660452331108,596.379595290442,-3.4864499426687985,-3.4864499426687416,True,True,5.363445591190194e-07,1.0,-0.8,0.25,0.10000004010285313,1.0,-0.8,0.25
29305,115,110.52521034015474,102.17835724084202,51,51,323.05042068030946,306.35671448168404,463.0419592268353,446.3482530282098,-16.69370619862542,-16.693706198625478,True,True,5.363445591190194e-07,1.0,-0.8,0.25,0.10000056529063331,1.0,-0.8,0.25
29306,172,159.4860040894272,134.9809664943165,51,51,420.9720081788544,371.961932988633,581.4942264963405,532.4841513061191,-49.010075190221414,-49.010075190221414,True,True,0.013623787045073549,1.0,-0.8,0.25,0.10000056529063331,1.0,-0.8,0.25
29307,104,100.29143516520948,85.47247036170334,51,51,302.5828703304189,272.9449407234067,437.4468061866289,407.8088765796167,-29.63792960701221,-29.63792960701221,True,True,0.00908304898893142,1.0,-0.8,0.25,0.10000056529063331,1.0,-0.8,0.25
29310,75,142.89386679034254,138.30723191824146,39,39,363.7877335806851,354.6144638364829,454.1697700086012,444.996500264399,-9.173269744202173,-9.173269744202173,True,True,5.363445591190198e-07,1.0,-0.8,0.25,0.27544068008061784,1.0,-0.8,0.25
29318,101,171.48509967981587,160.25508635149166,49,49,440.97019935963175,418.5101727029833,569.1111046848534,546.651078028205,-22.460026656648438,-22.460026656648438,True,True,0.14785554545256552,1.0,-0.8,0.25,0.2753716306614805,1.0,-0.8,0.25
29326,132,206.30733528830015,193.2345103886251,51,51,514.6146705766002,488.4690207772502,661.6375686285052,635.4919188291551,-26.145649799350053,-26.145649799350053,True,True,5.363445591190194e-07,1.0,-0.8,0.25,0.20973330135250873,1.0,-0.8,0.25
29328,115,140.339855646925,110.52366673355004,51,51,382.67971129385,323.0473334671001,522.6712498403758,463.03887201362585,-59.63237782674992,-59.63237782674997,True,True,0.13234561764647812,1.0,-0.8,0.25,0.14880379969158097,1.0,-0.8,0.25
