subj,n_test,nll_actr,nll_fear,n_params_actr,n_params_fear,aic_actr,aic_fear,bic_actr,bic_fear,delta_aic,delta_bic,converged_actr,converged_fear,actr_c,actr_t0,actr_F,actr_tau,actr_s,fear_d,fear_t0,fear_F,fear_tau,fear_s
1501,125,238.18268525952382,232.37505854825352,25,26,526.3653705190477,516.750117096507,597.0732139516052,590.2862742663668,-9.615253422540718,-6.786939685238394,True,True,0.5,0.3,1.0,-0.8,0.25,0.3078464354419969,0.3,1.0,-0.8,0.25
1502,156,218.8526894012637,196.00719465287008,25,26,487.7053788025274,444.01438930574017,563.9517789837658,523.3106454942281,-43.69098949678721,-40.641133489537765,True,True,0.5,0.3,1.0,-0.8,0.25,0.2053527643987132,0.3,1.0,-0.8,0.25
1503,173,2000227.7517977408,2000223.0443408652,25,26,4000505.5035954816,4000498.0886817304,4000584.335885344,4000580.0742631876,-7.41491375118494,-4.26162215648219,True,True,0.5,0.3,1.0,-0.8,0.25,0.1591879944732446,0.3,1.0,-0.8,0.25
1504,102,222.2778976909644,223.81277296606987,17,18,478.5557953819288,483.62554593213974,523.1803332077615,530.8750565712567,5.069750550210927,7.6947233634952,True,True,0.5,0.3,1.0,-0.8,0.25,0.41147281823950294,0.3,1.0,-0.8,0.25
1505,64,90.77138029088577,89.1578291255108,25,26,231.54276058177155,230.3156582510216,285.51483766576337,286.4466184183731,-1.2271023307499433,0.9317807526097113,True,True,0.5,0.3,1.0,-0.8,0.25,0.14804891882876467,0.3,1.0,-0.8,0.25
1509,86,160.09114342197466,160.90671682046158,22,23,364.1822868439493,367.81343364092317,418.1779273615265,424.2634214547538,3.6311467969738374,6.085494093227339,True,True,0.5,0.3,1.0,-0.8,0.25,0.28678940004839093,0.3,1.0,-0.8,0.25
1512,120,222.82621895880862,212.97127731481837,25,26,495.65243791761725,477.94255462963673,565.3397314871684,550.4173399419699,-17.709883287980517,-14.92239154519848,True,True,0.5,0.3,1.0,-0.8,0.25,0.3427545969209959,0.3,1.0,-0.8,0.25
1517,75,204.89085798273078,205.28107831290467,10,11,429.78171596546156,432.56215662580934,452.95659710082464,458.05452587470876,2.7804406603477787,5.097928773884121,True,True,0.5,0.3,1.0,-0.8,0.25,0.3947041454727172,0.3,1.0,-0.8,0.25
1518,74,110.88001349884946,100.10021264924828,25,26,271.7600269976989,252.20042529849655,329.3616543278032,312.106117721805,-19.559601699202346,-17.255536605998202,True,True,0.5,0.3,1.0,-0.8,0.25,0.142926181751773,0.3,1.0,-0.8,0.25
1521,112,212.71449170602958,210.99765320191594,25,26,475.42898341205915,473.9953064038319,543.3914551944365,544.6762770575043,-1.4336770082272778,1.2848218630678048,True,True,0.5,0.3,1.0,-0.8,0.25,0.29180906486772024,0.3,1.0,-0.8,0.25
1529,136,232.63289928960674,234.54328868742647,25,26,515.2657985792134,521.0865773748529,588.0821707226148,596.8156044039903,5.820778795639512,8.733433681375459,True,True,0.5,0.3,1.0,-0.8,0.25,0.25448749064184434,0.3,1.0,-0.8,0.25
1530,163,216.27097114031298,196.34388403904296,25,26,482.54194228062596,444.6877680780859,559.8856973007951,525.1252732990617,-37.85417420254004,-34.76042400173333,True,True,0.5,0.3,1.0,-0.8,0.25,0.14815364349165736,0.3,1.0,-0.8,0.25
1532,113,232.8497975114818,242.52824618318107,20,21,505.6995950229636,527.0564923663621,560.2473513972104,584.3316365593213,21.356897343398543,24.08428516211086,True,True,0.5,0.3,1.0,-0.8,0.25,0.36606576446548467,0.3,1.0,-0.8,0.25
1535,159,169.5178287151002,135.47027941597048,25,26,389.0356574302004,322.94055883194096,465.75826248570615,402.732068089667,-66.09509859825943,-63.02619439603916,True,True,0.5,0.3,1.0,-0.8,0.25,0.10000000000036478,0.3,1.0,-0.8,0.25
1536,121,1000257.1819530379,1000254.3152293549,18,19,2000550.3639060757,2000546.6304587098,2000600.6881358963,2000599.750479076,-3.7334473659284413,-0.9376568202860653,True,True,0.5,0.3,1.0,-0.8,0.25,0.43713643300111427,0.3,1.0,-0.8,0.25
1540,99,158.99899646543548,149.64234794648772,25,26,367.99799293087096,351.28469589297544,432.8759891842357,418.75781199647474,-16.71329703789553,-14.118177187760978,True,True,0.5,0.3,1.0,-0.8,0.25,0.17120477441319656,0.3,1.0,-0.8,0.25
1542,109,196.47590417371708,199.7305935009285,25,26,442.95180834743417,451.461187001857,510.23550540316273,521.4362319398148,8.509378654422846,11.200726536652041,True,True,0.5,0.3,1.0,-0.8,0.25,0.3571130749383179,0.3,1.0,-0.8,0.25
1552,91,133.34695877253068,136.45296453018747,25,26,316.69391754506137,324.90592906037494,379.4654052079826,390.188276229813,8.212011515313577,10.722871021830429,True,True,0.5,0.3,1.0,-0.8,0.25,0.2061609769444084,0.3,1.0,-0.8,0.25
1557,124,226.98052696933829,220.26384525008754,25,26,503.96105393867657,492.5276905001751,574.4680930788024,565.8550112059061,-11.433363438501488,-8.613081872896373,True,True,0.5,0.3,1.0,-0.8,0.25,0.2719575729841016,0.3,1.0,-0.8,0.25
29212,158,239.2166133935503,222.0962702731873,25,26,528.4332267871006,496.1925405463746,604.9981026127748,575.8200114050758,-32.240686240726006,-29.178091207699026,True,True,0.5,0.3,1.0,-0.8,0.25,0.2320252281917721,0.3,1.0,-0.8,0.25
29220,83,147.44420587348165,143.51309956140386,25,26,344.8884117469633,339.0261991228077,405.35942694187827,401.9160549255193,-5.862212624155575,-3.4433720163589783,True,True,0.5,0.3,1.0,-0.8,0.25,0.26725458409994307,0.3,1.0,-0.8,0.25
29221,149,234.77243666116888,231.1262730695015,25,26,519.5448733223377,514.252546139003,594.6435309709742,592.3551500935849,-5.292327183334692,-2.2883808773892724,True,True,0.5,0.3,1.0,-0.8,0.25,0.21075803237473562,0.3,1.0,-0.8,0.25
29227,85,155.17256078365602,159.9189390480696,23,24,356.34512156731205,367.8378780961392,412.52610046658936,426.4615082519068,11.492756528827158,13.935407785317466,True,True,0.5,0.3,1.0,-0.8,0.25,0.21141362510240905,0.3,1.0,-0.8,0.25
29230,194,215.07881512937428,193.59538993509105,25,26,480.15763025874855,439.1907798701821,561.8540842353318,524.1550920058287,-40.966850388566456,-37.69899222950312,True,True,0.5,0.3,1.0,-0.8,0.25,0.15644348340346947,0.3,1.0,-0.8,0.25
29245,73,101.85673295918495,94.49933425647258,25,26,253.7134659183699,240.99866851294516,310.97495194707966,300.5506139828033,-12.714797405424747,-10.424337964276333,True,True,0.5,0.3,1.0,-0.8,0.25,0.10270563439059671,0.3,1.0,-0.8,0.25
29280,73,142.97220261349335,148.19531372641586,20,21,325.9444052269867,338.3906274528317,371.75359404995453,386.49027571694796,12.44622222584502,14.736681666993434,True,True,0.5,0.3,1.0,-0.8,0.25,0.23696731239825672,0.3,1.0,-0.8,0.25
29281,96,156.45920317717324,154.56766037682053,25,26,362.9184063543465,361.13532075364105,427.0271111410424,427.8083737318048,-1.7830856007054194,0.7812625907624238,True,True,0.5,0.3,1.0,-0.8,0.25,0.1328707698437698,0.3,1.0,-0.8,0.25
29303,127,213.6214946418365,206.6049706351327,25,26,477.242989283673,465.2099412702654,548.3476664451377,539.1588055181887,-12.033048013407608,-9.188860926949019,True,True,0.5,0.3,1.0,-0.8,0.25,0.17884539576271719,0.3,1.0,-0.8,0.25
