subj,n_test,nll_actr,nll_fear,n_params_actr,n_params_fear,aic_actr,aic_fear,bic_actr,bic_fear,delta_aic,delta_bic,c,phi,d,w1,t0_actr,F_actr,t0_fear,F_fear,converged_actr,converged_fear
sub-01,3387,6679.579914438528,6637.824218009558,4,4,13367.159828877056,13283.648436019115,13391.670628288328,13308.159235430387,-83.51139285794125,-83.51139285794125,0.9999994251157202,0.021811856728486567,0.1298077470447168,1.7073856430465346,0.9999993937515728,1.8852997322027898,0.9999993912256739,1.9999999957760284,True,True
sub-02,4269,7473.431014621403,7400.648749591208,4,4,14954.862029242806,14809.297499182416,14980.298568789838,14834.734038729448,-145.5645300603901,-145.5645300603901,0.9999999991724149,0.006663357951731695,0.10075548261914152,1.6055425008814548,0.9214994594951867,1.554242816308758,0.9214999999997181,1.6460820356639834,True,True
sub-03,2195,6860.175599429176,6977.299032337904,4,4,13728.351198858352,13962.598064675807,13751.126948160389,13985.373813977843,234.24686581745482,234.24686581745482,0.9999994420669314,0.17974818395885128,0.38669562361180965,2.206598506763885,0.9999999999995997,1.999999376674918,0.9999999999996734,1.9999995272895374,True,True
sub-04,1684,4838.614362128465,4834.915259129012,4,4,9685.22872425693,9677.830518258024,9706.944433036138,9699.546227037234,-7.398205998904814,-7.398205998904814,0.999999999999848,0.2248944912917351,0.5069194590023232,3.570923043619817,0.99999962801872,1.6553105553145149,0.9999999999999998,1.800813270223104,True,True
sub-05,3742,5713.817755720662,5773.306122418517,4,4,11435.635511441324,11554.612244837033,11460.54501346866,11579.52174686437,118.97673339570974,118.97673339570974,0.3553475006707462,4.169162715854824e-07,5.363475592965989e-07,0.9942851332820126,0.8920499999999991,1.907706261929973,0.8920495022884655,1.5280450654584568,True,True
sub-06,1951,6067.646246836105,6122.860867710816,4,4,12143.29249367221,12253.721735421632,12165.596883034703,12276.026124784124,110.42924174942164,110.42924174942164,0.7468803016509122,0.17489534080468908,0.2419965349269267,1.1242193044484103,0.9999993912254718,1.9999995270975885,0.9999993912254718,1.9999995270975828,True,True
sub-07,3246,6789.057578732963,6772.123341629257,4,4,13586.115157465925,13552.246683258514,13610.455872458224,13576.587398250813,-33.868474207411055,-33.868474207411055,0.9999999937346928,0.03357710839220687,0.05844160391697537,0.9668108208732692,0.9999993912254718,1.999999371707662,0.9999999999999998,1.9999996578526638,True,True
sub-08,4322,8651.786429243473,8628.696162798456,4,4,17311.572858486947,17265.392325596913,17337.058752635214,17290.87821974518,-46.180532890033646,-46.180532890033646,0.9999999999996803,0.04771775617150818,0.10726411911750096,1.1583285096345246,0.9999993912254718,1.6603899521769365,0.9999999999997441,1.6619931140018656,True,True
sub-09,3200,6024.369046912459,6023.316579437458,4,4,12056.738093824919,12054.633158874916,12081.02171818007,12078.916783230068,-2.1049349500026437,-2.1049349500026437,0.5263148795277982,0.04872917981876881,0.04207667419033844,1.06182913562366,0.7951496365737175,1.8709469563192962,0.7951499999997765,1.83694039438714,True,True
sub-10,3202,5838.024485196793,5829.325465529071,4,4,11684.048970393585,11666.650931058142,11708.335093967813,11690.93705463237,-17.398039335443173,-17.398039335443173,0.6988664709591416,0.0043310933964469354,0.026427838460635122,1.1179657768361926,0.9999999999997139,1.999999596385719,0.9999999999996146,1.9999996000340585,True,True
