subj,n_test,nll_actr,nll_fear,n_params_actr,n_params_fear,aic_actr,aic_fear,bic_actr,bic_fear,delta_aic,delta_bic,converged_actr,converged_fear,actr_c,actr_t0,actr_F,actr_tau,actr_s,fear_d,fear_t0,fear_F,fear_tau,fear_s
1501,125,223.7792059790702,214.18880910052744,28,28,503.5584119581404,484.3776182010549,582.7511966026049,563.5704028455193,-19.180793757085553,-19.180793757085553,True,True,0.1148613192910604,0.42858536318664425,1.0,-0.8,0.20532621259312797,0.2747542270724203,0.6782199962393543,1.0,-0.8,0.25019618414464706
1502,156,176.28899507029988,189.00450674436433,28,28,408.57799014059975,434.00901348872867,493.9739583435868,519.4049816917156,25.431023348128917,25.43102334812886,True,True,0.07585003099013292,0.2085254348760869,1.0,-0.8,0.1608894878695386,0.20962733444371562,0.20857158915511514,1.0,-0.8,0.1772529643811831
1503,173,195.04402153311779,220.3116079146778,28,28,446.08804306623557,496.6232158293556,534.3802077121734,584.9153804752934,50.535172763120045,50.535172763120045,True,True,0.19224423882474315,0.09975057766873842,1.0,-0.8,0.13015425292168956,0.1461612499119611,0.09975059464592696,1.0,-0.8,0.15510991587015088
1504,102,212.75775823218683,219.3074436847396,20,20,465.51551646437366,478.6148873694792,518.0149727300591,531.1143436351647,13.099370905105559,13.099370905105616,True,True,0.06416234879102801,0.4600888273778613,1.0,-0.8,0.22146856801224146,0.3881081288974255,0.5026496269015893,1.0,-0.8,0.23544557226986154
1505,64,67.50641269958363,65.39079592980605,28,28,191.01282539916727,186.7815918596121,251.46155173323808,247.23031819368288,-4.231233539555177,-4.231233539555205,True,True,0.2023710464343553,0.29307533395338453,1.0,-0.8,0.11388176016960687,0.1910010581924177,0.46348608073706044,1.0,-0.8,0.1235586638993754
1509,86,152.3435657081526,150.38893693251896,25,25,354.6871314163052,350.7778738650379,416.04581382264286,412.1365562713756,-3.909257551267274,-3.909257551267274,True,True,0.18443563602777302,0.3088562358298262,1.0,-0.8,0.19390644768140192,0.2802964769999511,0.5544371406026314,1.0,-0.8,0.23751699664498824
1512,120,194.71519823127701,211.4654089673572,28,28,445.43039646255403,478.9308179347144,523.4801652604513,556.9805867326118,33.50042147216038,33.5004214721605,True,True,0.012679492973674366,0.29924999999999996,1.0,-0.8,0.16262005706548507,0.3462299358754213,0.29925034801291533,1.0,-0.8,0.17851962826762285
1517,75,197.89935409643238,191.1553686113142,13,13,421.79870819286475,408.3107372226284,451.9260536688368,438.43808269860045,-13.487970970236347,-13.487970970236347,True,True,0.32003706760707346,0.7446441749278689,1.0,-0.8,0.32440899631723197,0.36975240795446823,0.7675993420080575,1.0,-0.8,0.3193764009944558
1518,74,95.69112881749828,78.48242375238321,28,28,247.38225763499656,212.96484750476642,311.89608024471335,277.4786701144832,-34.41741013023014,-34.41741013023017,True,True,0.2609576253978429,0.17812565621511697,1.0,-0.8,0.1364240650528271,0.13786112610577742,0.27904639880309723,1.0,-0.8,0.11805864766394032
1521,112,199.2759104284598,209.82589787816087,28,28,454.5518208569196,475.65179575632175,530.6697892531822,551.7697641525843,21.099974899402127,21.099974899402127,True,True,0.0929407829254674,0.19047536837941734,1.0,-0.8,0.196176369342097,0.28919467044566155,0.3110627262184152,1.0,-0.8,0.22405989696936154
1529,136,198.58728671187185,212.43237458651825,28,28,453.1745734237437,480.8647491730365,534.7289102243532,562.4190859736459,27.69017574929279,27.690175749292735,True,True,0.0720089728647493,0.35612275185970066,1.0,-0.8,0.1666209235342581,0.20202085554215152,0.671409432666714,1.0,-0.8,0.25380979511007845
1530,163,193.76433341590092,170.68091755090782,28,28,443.52866683180184,397.36183510181564,530.1536724543912,483.986840724405,-46.1668317299862,-46.1668317299862,True,True,1.0740244053468042e-13,0.6782994720023849,1.0,-0.8,0.31156833579374454,0.10564970695536914,0.6782994720023459,1.0,-0.8,0.2935763606298059
1532,113,216.61956647899086,216.01397155562583,23,23,479.2391329579817,478.02794311125166,541.9690527883656,540.7578629416355,-1.2111898467300648,-1.2111898467301216,True,True,0.15962922296312634,0.6619222083047716,1.0,-0.8,0.22258808209884015,0.30575051613471177,0.7671909737551084,1.0,-0.8,0.2342391211805743
1535,159,92.35294295159757,91.04583143417706,28,28,240.70588590319514,238.09166286835412,326.6352035653616,324.0209805305206,-2.614223034841018,-2.614223034841018,True,True,5.363447425769392e-07,0.627446679083273,1.0,-0.8,0.21437174040253346,0.10000056529063331,0.7409993794387368,1.0,-0.8,0.304369088450543
1536,121,249.86898014793033,242.9519071502666,21,21,541.7379602958606,527.9038143005332,600.4495617533922,586.6154157580647,-13.83414599532739,-13.834145995327503,True,True,0.7058308803302734,0.13015044247285468,1.0,-0.8,0.1912870236254844,0.4376205921973017,0.13015000000022833,1.0,-0.8,0.1662961691588243
1540,99,135.54472397713647,136.64497138752668,28,28,327.08944795427294,329.28994277505336,399.75280375804147,401.9532985788219,2.2004948207804205,2.2004948207804205,True,True,0.1381774720242258,0.2678804239916308,1.0,-0.8,0.14885331098608004,0.1578425355990423,0.3742178047753831,1.0,-0.8,0.1748465345725616
1542,109,178.40139959381625,188.5115234480079,28,28,412.8027991876325,433.0230468960158,488.16053989004854,508.38078759843177,20.220247708383283,20.220247708383226,True,True,0.22912484957297147,0.2717006185972875,1.0,-0.8,0.15985423147248784,0.3421431876014807,0.445744950636062,1.0,-0.8,0.1939741854287697
1552,91,107.30441377935668,105.66847981485965,28,28,270.60882755871336,267.33695962971933,340.91289374118514,337.64102581219106,-3.271867928994027,-3.2718679289940837,True,True,0.18368791722163166,0.30704724204418504,1.0,-0.8,0.14030290315201413,0.18505794759559127,0.8104257703121156,1.0,-0.8,0.2563784233369842
1557,124,211.57922217720184,204.12085141208757,28,28,479.1584443544037,464.24170282417515,558.1263281913448,543.2095866611162,-14.916741530228535,-14.916741530228592,True,True,0.2667121269115828,0.30063130228062795,1.0,-0.8,0.17078325870290365,0.2743365371636016,0.33666577681823423,1.0,-0.8,0.16232651059157388
29212,158,213.70962777069664,208.08926726896362,28,28,483.4192555413933,472.17853453792725,569.1719164661483,557.9311954626824,-11.240721003466035,-11.240721003465978,True,True,0.12094942951482608,0.270275,1.0,-0.8,0.17688004580257938,0.2826081034998596,0.2702756153746323,1.0,-0.8,0.15980402637103525
29220,83,133.4268493312622,128.52255896049166,28,28,322.8536986625244,313.04511792098333,390.58123568082914,380.7726549392881,-9.80858074154105,-9.80858074154105,True,True,0.2456331879612492,0.3000003852393251,1.0,-0.8,0.15930039582388955,0.2690672171003815,0.5915768072564583,1.0,-0.8,0.208658139500332
29221,149,215.13189217501818,220.09482066422217,28,28,486.26378435003636,496.18964132844434,570.3742809165092,580.3001378949172,9.925856978407978,9.925856978407978,True,True,0.1416920667222968,0.3069041552942031,1.0,-0.8,0.18302291770786272,0.19746860060439705,0.4497858209049315,1.0,-0.8,0.21868717324664874
29227,85,134.6818364346701,132.3692007703179,26,26,321.3636728693402,316.7384015406358,384.8726055380884,380.247334209384,-4.6252713287044,-4.6252713287044,True,True,0.19012842187781512,0.5737111187946955,1.0,-0.8,0.17643696035297646,0.1880379624024473,0.7369902603090247,1.0,-0.8,0.20335120258843215
29230,194,164.03399764667023,179.19660811673202,28,28,384.06799529334046,414.39321623346405,475.56802374711367,505.89324468723726,30.325220940123586,30.325220940123586,True,True,0.15416652525993518,0.2232504891230012,1.0,-0.8,0.146482794053386,0.1322750030676344,0.4002027774689761,1.0,-0.8,0.2117602907011551
29245,73,82.16231582795544,72.95418601239355,28,28,220.32463165591088,201.9083720247871,284.45749600806585,266.04123637694204,-18.41625963112378,-18.416259631123808,True,True,0.14399897916114338,0.3000004414774495,1.0,-0.8,0.1401646579593232,0.11653461993210677,0.6049772757320169,1.0,-0.8,0.17966980462894322
29280,73,113.21641045535449,111.95257573058493,23,23,272.432820910709,269.90515146116985,325.113388057122,322.58571860758286,-2.5276694495391325,-2.5276694495391325,True,True,0.09323252691356337,0.8004284250753012,1.0,-0.8,0.1737907954309911,0.16818233923513656,0.9999993912254718,1.0,-0.8,0.20911632134206284
29281,96,118.81802242057053,110.89857710440305,28,28,293.63604484114103,277.7971542088061,365.43779420224047,349.5989035699055,-15.838890632334937,-15.838890632334994,True,True,7.353430754603519e-10,0.8497895597886981,1.0,-0.8,0.2134419940696418,0.10000000000024017,0.9999993912254718,1.0,-0.8,0.2639259292485534
29303,127,186.1509001298005,198.43043913559902,28,28,428.301800259601,452.86087827119803,507.93903868044157,532.4981166920386,24.559078011597023,24.559078011597023,True,True,5.36345339028006e-07,0.40956681741803375,1.0,-0.8,0.20266758449330208,0.15212424048220813,0.4690147743766582,1.0,-0.8,0.24088477557555504
29305,115,113.49723420187483,113.25146006685075,28,28,282.9944684037497,282.50292013370154,359.8525679979207,359.36101972787253,-0.49154827004815616,-0.49154827004815616,True,True,0.056977849323742745,0.5735453652436926,1.0,-0.8,0.16537510472227493,0.10000000000020341,0.7875496472683862,1.0,-0.8,0.2378261959661365
29306,172,171.8786060801561,170.10201940445697,28,28,399.7572121603122,396.20403880891394,487.88705751108887,484.3338841596906,-3.553173351398243,-3.553173351398243,True,True,0.22812509523756622,0.3833495981373236,1.0,-0.8,0.17431219744023188,0.10000000493958662,0.37332930548209653,1.0,-0.8,0.17788535620884843
29307,104,87.52560739351614,89.78973623702163,28,28,231.05121478703228,235.57947247404326,305.0941599629907,309.6224176500017,4.528257687010978,4.528257687010978,True,True,0.2219740979052275,0.37518302165851075,1.0,-0.8,0.10298778741178927,0.10000001011963573,0.7474220959295365,1.0,-0.8,0.1538093540426811
29310,75,150.71743997240617,150.9502711783998,22,22,345.43487994481234,345.9005423567996,396.4196184426112,396.88528085459836,0.465662411987239,0.46566241198718217,True,True,5.363451261484274e-07,0.4563801751700983,1.0,-0.8,0.22859960382651476,0.2725215584259374,0.5699699953063727,1.0,-0.8,0.2570650875524825
29318,101,176.31026393457304,165.18916678758396,27,27,406.6205278691461,384.3783335751679,477.2287818238601,454.98658752988194,-22.242194293978173,-22.242194293978173,True,True,0.3661091978730535,0.4954325362923897,1.0,-0.8,0.17778055484364724,0.26986585354976717,0.9547512962898436,1.0,-0.8,0.26137924302207255
29326,132,210.35769058176518,202.88304651339718,28,28,476.71538116353037,461.76609302679435,557.4338349959487,542.4845468592127,-14.949288136736016,-14.949288136735959,True,True,5.363445903834152e-07,0.4442258295199922,1.0,-0.8,0.19965389938405048,0.22871930963109713,0.6637261928521392,1.0,-0.8,0.2549706287432385
29328,115,140.00392783655937,124.4339160320132,28,28,336.00785567311874,304.8678320640264,412.86595526728973,381.7259316581974,-31.14002360909234,-31.14002360909234,True,True,0.37989796054379976,0.30000000000001376,1.0,-0.8,0.13863450159810473,0.17480171943715495,0.6432238661019407,1.0,-0.8,0.17875209032524547
